id,price,number_of_reviews,No_of_days_booked_per_year,occupany_rate
2561141,74,75,55.0,15.0
2561266,141,144,197.0,54.0
2561355,185,163,146.0,40.0
2565444,125,72,55.0,15.0
2567519,49,20,37.0,10.0
2571657,175,92,88.0,24.0
2571693,215,117,135.0,37.0
2577340,199,62,55.0,15.0
2578669,230,12,15.0,4.0
2588035,161,224,255.0,70.0
2608517,110,61,84.0,23.0
2608880,105,160,190.0,52.0
2615522,110,122,139.0,38.0
2615911,246,207,201.0,55.0
2621569,60,14,18.0,5.0
2623160,100,21,68.0,18.7
2636637,199,67,73.0,20.0
2638458,175,15,11.0,3.0
2639167,77,15,29.0,8.0
2673398,65,7,4.0,1.0
2680610,148,115,135.0,37.0
2681144,127,2,58.0,16.0
2689275,59,76,91.0,25.0
2694616,100,146,255.0,70.0
2695999,190,0,0.0,0.0
2703431,190,107,139.0,38.0
2704378,80,31,26.0,7.0
2711291,94,0,0.0,0.0
2717315,85,111,195.0,53.3
2723327,145,15,22.0,6.0
2723499,130,114,95.0,26.0
2731207,65,0,0.0,0.0
2733270,121,23,29.0,8.0
2740158,105,89,255.0,70.0
2750917,117,54,162.0,44.3
2756297,249,133,190.0,52.0
2756407,179,66,146.0,40.0
2764463,45,1,37.0,10.0
2764773,196,254,245.0,67.0
2767569,199,100,106.0,29.0
2778273,53,2,15.0,4.0
2784880,76,0,0.0,0.0
2785372,219,50,85.0,23.3
2798239,167,20,37.0,10.0
2803740,185,40,44.0,12.0
2819858,121,60,62.0,17.0
2831745,70,10,26.0,7.0
2831974,107,0,0.0,0.0
2838411,97,81,91.0,25.0
2847150,45,51,55.0,15.0
2851333,179,4,17.0,4.7
2878019,79,0,0.0,0.0
2883262,99,344,255.0,70.0
2890297,199,9,26.0,7.0
2898543,195,65,66.0,18.0
2898554,120,8,15.0,4.0
2899731,240,40,22.0,6.0
2909200,148,111,165.0,45.3
2909989,128,230,255.0,70.0
2919196,56,0,0.0,0.0
2935690,114,163,197.0,54.0
2951143,108,0,0.0,0.0
2951233,121,44,51.0,14.0
